scheme_code,scheme_name,isin_growth,isin_div_reinvestment
100611,Sundaram Medium Term Bond Fund -Institutional Plan - Bonus Option,,
100612,Sundaram Growth Fund-Dividend,,
100613,Sundaram Growth Fund-Growth,,
100614,Sundaram Value Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),INF903J01512,INF903J01520
100617,Sundaram Equity Hybrid Fund Regular Plan - Growth,,
100618,Sundaram Money Fund Retail Plan - Growth,,
100619,Sundaram Money Fund Retail Plan - Quarterly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,
100620,Sundaram Money Fund Retail Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,
100621,Sundaram Money Fund Retail Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,
100622,Sundaram Money Fund Retail Plan - Fortnightly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,
100623,Sundaram Money Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),,
100630,quant Multi Cap Fund-IDCW Option - Regular Plan,INF966L01218,INF966L01226
100631,quant Multi Cap Fund-GROWTH OPTION - Regular Plan,INF966L01234,
100638,SBI Medium to Long Duration Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01610,INF200K01628
100639,SBI Medium to Long Duration Fund-REGULAR PLAN-Growth,INF200K01594,
100640,SBI Medium to Long Duration Fund-REGULAR PLAN-Bonus,INF200K01602,
100641,SBI ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,INF200K01LJ4,
100643,SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01420,INF200K01438
100644,SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01453,INF200K01461
100645,SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01404,INF200K01412
100646,UTI - Unit Linked Insurance Plan,,
100648,UTI - CRTS 81 - Dividend Option,,
100650,UTI Large Cap Fund - Regular Plan - IDCW,INF189A01038,INF789F01950
100651,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,
100656,UTI - Master Plus Unit Scheme-Growth Option,,
100657,UTI - Master Plus Unit Scheme-Income Option,,
100663,UTI Large & Mid Cap Fund - Regular Plan - IDCW,INF189A01046,INF789F01851
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,INF789F01869,
100668,UTI Flexi Cap Fund - Regular Plan - IDCW,INF189A01053,INF789F01505
100669,UTI - Flexi Cap Fund-Growth Option,INF789F01513,
100676,Benchmark Derivative Fund - Growth Plan,,
100678,UTI Children's Hybrid Fund - Regular Plan,INF789F1AZP2,
100682,UTI Retirement Fund - Regular Plan,INF789F1AA56,
100684,UTI Aggressive Hybrid Fund - Regular Plan - Growth,INF789F01323,
100685,UTI Aggressive Hybrid Fund - Regular Plan - IDCW,INF789F01307,INF789F01315
100711,UTI - INDEX SELECT FUND-Income Option,,
100712,UTI - INDEX SELECT FUND-Growth Option,,
100713,Grindays Fixed Maturity - 5th Plan-A-Growth,,
100714,Grindays Fixed Maturity - 5th Plan-A-Dividend,,
100715,DBS Chola Multi-Cap Fund-Dividend Option,,
100716,DBS Chola Multi-Cap Fund-Cumulative Option,,
100717,SBI MAGNUM DEBT FUND SERIES - 60 DAYS - 2 - DIVIDEND,,
100723,UTI MMF-Discontinued - Regular Plan -Growth,INF789F01BF5,
100724,UTI MMF- Discontinued - Regular Plan - Flexi Dividend Option,,INF789F01BD0
100725,UTI MMF- Discontinued - Regular Plan - Periodic Dividend Option,INF789F01BE8,
100739,UTI MNC Fund - Regular Plan - IDCW,INF789F01828,INF789F01836
100740,UTI - MNC Fund - Regular Plan - Growth Option,INF789F01844,
100741,UTI Medium to Long Duration Fund- Regular Plan - Growth,INF789F01406,
100742,UTI Medium to Long Duration Fund - Regular Plan - Quarterly IDCW,INF789F01380,INF789F01398
100748,UTI - Master Index Fund-Income Option,,
100749,UTI - Master Index Fund-Growth Option,,
100750,UTI - Master Value Fund-Income Option,,
100751,UTI - Master Value Fund-Growth Option,,
100780,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),,
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,,
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,
100783,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,INF903J01IN3,
100785,Sundaram Corporate Bond Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),INF903J01HX4,INF903J01IB8
100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,,
100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,,
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,,
100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,,
100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,,
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,,
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,INF209K01CE5
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),,
100036,Birla Sun Life Freedom Fund-Plan B (Growth),,
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,INF209K01587,INF209K01CY3
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,INF209K01579,
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,,INF209K01KN9
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,
