date,nav,scheme_code,fund_name
2020-06-08,55.1066,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-09,54.6084,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-10,54.8485,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-11,54.4155,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-12,54.6559,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-15,54.2432,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-16,54.8212,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-17,55.393,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-18,55.5556,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-19,55.7688,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-22,57.4547,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-23,58.2561,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-24,57.1358,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-25,57.854,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-26,57.5425,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-29,56.9851,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-30,56.3796,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-01,56.3051,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-02,56.5285,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-03,57.1696,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-06,58.113,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-07,57.935,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-08,58.0663,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-09,58.298,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-10,58.2981,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-13,58.6437,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-14,57.9919,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-15,57.9193,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-16,57.9806,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-17,58.54,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-20,59.059,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-21,58.7706,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-22,58.8762,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-23,59.6438,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-24,59.3358,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-27,59.0559,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-28,59.3323,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-29,60.131,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-30,59.5941,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-07-31,60.404,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-03,61.0398,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-04,61.2955,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-05,61.3384,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-06,62.1361,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-07,62.6111,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-10,63.6204,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-11,62.9986,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-12,62.7556,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-13,62.7383,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-14,62.6453,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-17,62.7396,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-18,63.2825,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-19,63.9355,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-20,64.5637,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-21,65.1165,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-24,65.6934,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-25,65.5694,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-26,65.7181,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-27,65.2944,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-28,65.1476,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-08-31,62.4756,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-01,63.1221,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-02,64.0911,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-03,64.2449,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-04,63.092,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-07,63.1689,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-08,62.5035,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-09,62.2926,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-10,63.4366,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-09-11,63.7702,120841,HDFC Index Fund - Nifty 50 Plan - Growth
