date,nav,scheme_code,fund_name
2026-05-11,231.5183,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-12,227.276,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-13,227.5962,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-14,230.287,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-15,229.99,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-18,230.0476,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-19,229.7357,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-20,230.1326,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-21,230.0892,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-22,230.8106,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-25,233.924,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-26,232.7748,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-27,232.7093,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-29,229.2493,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-01,227.6401,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-02,228.619,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-03,227.8602,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-04,227.9646,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-05,227.5797,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-08,225.2052,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-09,226.3617,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-10,226.0962,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-11,225.5762,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-12,230.1422,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-15,232.3818,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-16,233.6948,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-17,234.6313,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-18,235.4295,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-19,234.3625,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-22,235.2303,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-23,232.5809,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-24,234.5013,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-25,234.8333,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-29,233.7579,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-06-30,233.0091,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-01,234.371,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-02,236.0223,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-03,237.0303,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-06,238.5779,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-07,238.2936,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-08,233.2615,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-09,234.0591,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-10,236.4763,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-13,236.5114,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-07-14,234.962,119063,HDFC Nifty 50 Index Fund - Direct Plan
